id,name,nationality,year,team,source,tournament,pac,sho,pas,dri,def,phy,titleBonus,awardBonus,position,naturalPosition
mbappe,Kylian Mbappe,France,2022,France,NATIONAL,World Cup,98,96,83,95,38,82,4,5,FW,LW
griezmann,Antoine Griezmann,France,2018,France,NATIONAL,World Cup,88,90,85,90,55,75,5,3,FW,ST
kante,NGolo Kante,France,2018,France,NATIONAL,World Cup,85,55,82,80,96,88,5,2,MF,DM
kante,NGolo Kante,France,2016,Chelsea,CLUB,,86,50,84,78,97,86,4,2,MF,DM
pirlo,Andrea Pirlo,Italy,2006,Italy,NATIONAL,World Cup,60,65,98,90,60,65,5,3,MF,CM
pirlo,Andrea Pirlo,Italy,2011,Juventus,CLUB,,62,67,97,89,62,67,4,2,MF,CM
buffon,Gianluigi Buffon,Italy,2006,Italy,NATIONAL,World Cup,70,50,75,50,96,90,5,4,GK,GK
cannavaro,Fabio Cannavaro,Italy,2006,Italy,NATIONAL,World Cup,78,40,70,55,98,82,5,5,DF,CB
salah,Mohamed Salah,Egypt,2019,Liverpool,CLUB,,95,90,82,93,45,75,4,4,FW,RW
mane,Sadio Mane,Senegal,2019,Liverpool,CLUB,,94,88,80,91,50,82,4,3,FW,LW
firmino,Roberto Firmino,Brazil,2019,Liverpool,CLUB,,82,85,88,90,60,80,4,3,FW,ST
pele,Pele,Brazil,1970,Brazil,NATIONAL,World Cup,92,98,91,96,35,88,5,5,FW,ST
pele,Pele,Brazil,1962,Brazil,NATIONAL,World Cup,94,96,88,95,35,85,5,5,FW,ST
garrincha,Garrincha,Brazil,1962,Brazil,NATIONAL,World Cup,96,88,82,97,30,72,5,4,FW,RW
carlos_alberto,Carlos Alberto Torres,Brazil,1970,Brazil,NATIONAL,World Cup,90,72,88,84,85,82,5,3,DF,RB
cafu,Cafu,Brazil,2002,Brazil,NATIONAL,World Cup,94,60,86,88,84,80,5,3,DF,RB
roberto_carlos,Roberto Carlos,Brazil,2002,Brazil,NATIONAL,World Cup,96,75,85,90,82,88,5,3,DF,LB
rivaldo,Rivaldo,Brazil,2002,Brazil,NATIONAL,World Cup,83,92,89,94,35,80,5,4,MF,AM
kaka,Kaka,Brazil,2007,AC Milan,CLUB,,91,89,88,93,40,80,5,5,MF,AM
romario,Romario,Brazil,1994,Brazil,NATIONAL,World Cup,89,95,80,94,30,72,5,4,FW,ST
bebeto,Bebeto,Brazil,1994,Brazil,NATIONAL,World Cup,88,88,78,90,35,70,5,2,FW,RW
zidane,Zinedine Zidane,France,2006,France,NATIONAL,World Cup,78,82,96,95,55,78,5,5,MF,AM
zidane,Zinedine Zidane,France,2002,Real Madrid,CLUB,,80,85,95,94,50,78,4,4,MF,AM
henry,Thierry Henry,France,2004,Arsenal,CLUB,,94,94,87,93,35,82,4,4,FW,LW
henry,Thierry Henry,France,1998,France,NATIONAL,World Cup,92,85,82,91,35,80,5,2,FW,LW
vieira,Patrick Vieira,France,2004,Arsenal,CLUB,,78,65,84,75,94,93,4,2,MF,DM
makalele,Claude Makelele,France,2004,Chelsea,CLUB,,72,45,82,65,97,85,4,2,MF,DM
platini,Michel Platini,France,1984,France,NATIONAL,World Cup,72,90,97,94,45,70,5,5,MF,AM
beckenbauer,Franz Beckenbauer,Germany,1974,Germany,NATIONAL,World Cup,80,65,94,87,96,86,5,5,DF,CB
matthaus,Lothar Matthaus,Germany,1990,Germany,NATIONAL,World Cup,88,82,91,89,90,90,5,5,MF,CM
klose,Miroslav Klose,Germany,2014,Germany,NATIONAL,World Cup,78,92,72,82,40,85,5,4,FW,ST
ballack,Michael Ballack,Germany,2002,Germany,NATIONAL,World Cup,78,85,86,80,72,88,4,3,MF,CM
schweinsteiger,Bastian Schweinsteiger,Germany,2014,Germany,NATIONAL,World Cup,72,65,90,78,83,88,5,2,MF,CM
seedorf,Clarence Seedorf,Netherlands,2003,AC Milan,CLUB,,76,72,90,87,65,85,4,2,MF,CM
van_basten,Marco van Basten,Netherlands,1989,AC Milan,CLUB,,82,96,84,94,35,82,5,5,FW,ST
cruyff,Johan Cruyff,Netherlands,1974,Netherlands,NATIONAL,World Cup,91,92,96,97,40,72,5,5,FW,ST
bergkamp,Dennis Bergkamp,Netherlands,1998,Netherlands,NATIONAL,World Cup,72,88,92,95,35,75,4,4,FW,ST
koeman,Ronald Koeman,Netherlands,1988,Netherlands,NATIONAL,World Cup,72,72,88,70,92,88,3,2,DF,CB
baggio,Roberto Baggio,Italy,1994,Italy,NATIONAL,World Cup,84,91,91,96,30,65,5,5,FW,AM
baresi,Franco Baresi,Italy,1990,Italy,NATIONAL,World Cup,75,45,86,55,98,82,5,4,DF,CB
maldini,Paolo Maldini,Italy,1994,AC Milan,CLUB,,83,50,88,62,98,88,5,4,DF,LB
maldini,Paolo Maldini,Italy,2003,AC Milan,CLUB,,78,45,88,58,97,86,5,3,DF,CB
zoff,Dino Zoff,Italy,1982,Italy,NATIONAL,World Cup,68,45,70,45,97,86,5,4,GK,GK
schmeichel,Peter Schmeichel,Denmark,1999,Manchester United,CLUB,,70,40,75,45,95,94,4,3,GK,GK
casillas,Iker Casillas,Spain,2010,Spain,NATIONAL,World Cup,76,45,78,50,95,82,5,4,GK,GK
casillas,Iker Casillas,Spain,2008,Real Madrid,CLUB,,78,45,80,50,94,82,4,3,GK,GK
xabi_alonso,Xabi Alonso,Spain,2010,Spain,NATIONAL,World Cup,62,62,94,82,72,72,5,2,MF,DM
busquets,Sergio Busquets,Spain,2010,Spain,NATIONAL,World Cup,55,48,95,78,91,75,5,2,MF,DM
busquets,Sergio Busquets,Spain,2011,FC Barcelona,CLUB,,56,48,95,80,92,76,5,2,MF,DM
fabregas,Cesc Fabregas,Spain,2010,Spain,NATIONAL,World Cup,72,72,94,91,45,68,5,2,MF,CM
silva,David Silva,Spain,2012,Manchester City,CLUB,,78,78,94,95,42,65,4,3,MF,AM
xabi_alonso2,Xabi Alonso,Spain,2014,Bayern Munich,CLUB,,60,60,92,80,75,76,4,2,MF,DM
robben,Arjen Robben,Netherlands,2013,Bayern Munich,CLUB,,96,90,85,95,35,70,5,4,FW,RW
ribery,Franck Ribery,France,2013,Bayern Munich,CLUB,,94,84,89,96,35,72,5,3,FW,LW
lahm2,Philipp Lahm,Germany,2013,Bayern Munich,CLUB,,88,55,91,86,90,72,5,3,DF,LB
vidic,Nemanja Vidic,Serbia,2008,Manchester United,CLUB,,72,45,72,50,96,94,4,3,DF,CB
ferdinand,Rio Ferdinand,England,2008,Manchester United,CLUB,,82,45,82,55,94,90,4,2,DF,CB
evra,Patrice Evra,France,2008,Manchester United,CLUB,,90,45,80,72,90,84,4,2,DF,LB
xabi_alonso3,Xabi Alonso,Spain,2014,Real Madrid,CLUB,,60,62,93,81,70,76,5,2,MF,DM
casemiro,Casemiro,Brazil,2017,Real Madrid,CLUB,,68,55,82,70,94,92,5,2,MF,DM
marcelo,Marcelo,Brazil,2017,Real Madrid,CLUB,,91,72,88,94,75,78,5,3,DF,LB
pepe,Pepe,Portugal,2017,Real Madrid,CLUB,,75,45,70,55,95,94,5,2,DF,CB
benzema,Karim Benzema,France,2022,Real Madrid,CLUB,,82,94,88,91,45,84,5,5,FW,ST
bale,Gareth Bale,Wales,2013,Real Madrid,CLUB,,97,90,82,91,40,86,5,3,FW,RW
suarez,Luis Suarez,Uruguay,2015,Barcelona,CLUB,,82,96,87,94,45,88,5,5,FW,ST
neymar,Neymar,Brazil,2015,Barcelona,CLUB,,94,90,88,98,30,70,5,4,FW,LW
neymar,Neymar,Brazil,2018,Paris Saint-Germain,CLUB,,93,90,88,97,35,70,4,3,FW,LW
ibrahimovic,Zlatan Ibrahimovic,Sweden,2013,Paris Saint-Germain,CLUB,,75,95,84,91,35,94,4,4,FW,ST
xavi2,Xavi,Spain,2011,FC Barcelona,CLUB,,73,70,98,95,66,65,5,4,MF,CM
iniesta2,Andres Iniesta,Spain,2011,FC Barcelona,CLUB,,83,78,96,97,56,68,5,4,MF,CM
eto_o,Samuel Eto'o,Cameroon,2009,FC Barcelona,CLUB,,94,92,80,91,35,82,5,3,FW,ST
pique,Gerard Pique,Spain,2011,FC Barcelona,CLUB,,65,45,82,55,94,88,5,2,DF,CB
alves,Dani Alves,Brazil,2011,FC Barcelona,CLUB,,92,65,92,90,82,78,5,3,DF,RB
busquets2,Sergio Busquets,Spain,2011,FC Barcelona,CLUB,,55,48,95,80,92,76,5,2,MF,DM
kaka2,Kaka,Brazil,2007,AC Milan,CLUB,,91,89,88,93,40,80,5,5,MF,AM
pirlo2,Andrea Pirlo,Italy,2007,AC Milan,CLUB,,61,66,97,90,60,66,5,3,MF,CM
seedorf2,Clarence Seedorf,Netherlands,2007,AC Milan,CLUB,,76,72,91,88,66,85,5,2,MF,CM
nesta,Alessandro Nesta,Italy,2007,AC Milan,CLUB,,72,42,80,50,98,88,5,3,DF,CB
ronaldinho2,Ronaldinho,Brazil,2005,FC Barcelona,CLUB,,94,88,91,98,30,70,4,4,FW,LW
henry2,Thierry Henry,France,2009,FC Barcelona,CLUB,,91,90,87,92,38,80,5,3,FW,LW
fabregas2,Cesc Fabregas,Spain,2015,Chelsea,CLUB,,70,75,92,88,45,70,4,2,MF,CM
hazard,Eden Hazard,Belgium,2015,Chelsea,CLUB,,94,82,87,96,35,70,5,3,FW,LW
lampard,Frank Lampard,England,2005,Chelsea,CLUB,,68,88,88,82,72,84,5,3,MF,CM
essien,Michael Essien,Ghana,2005,Chelsea,CLUB,,82,70,82,76,94,93,5,2,MF,DM
terry,John Terry,England,2005,Chelsea,CLUB,,65,50,78,48,96,92,5,2,DF,CB
cole,Ashley Cole,England,2005,Chelsea,CLUB,,91,45,82,70,94,80,5,2,DF,LB
ronaldo2,Ronaldo Nazario,Brazil,2002,Real Madrid,CLUB,,93,95,84,94,32,82,4,5,FW,ST
figo,Luis Figo,Portugal,2000,Real Madrid,CLUB,,88,84,91,94,35,75,4,4,FW,RW
raul,Raul,Spain,2002,Real Madrid,CLUB,,80,90,84,91,42,78,5,3,FW,ST
roberto_carlos2,Roberto Carlos,Brazil,2002,Real Madrid,CLUB,,96,76,85,91,83,88,5,3,DF,LB
hierro,Fernando Hierro,Spain,2000,Real Madrid,CLUB,,65,65,85,55,93,88,4,2,DF,CB
redondo,Fernando Redondo,Argentina,2000,Real Madrid,CLUB,,72,50,94,90,80,75,4,3,MF,DM
sanchez,Hugo Sanchez,Mexico,1990,Real Madrid,CLUB,,86,96,70,90,30,82,4,4,FW,ST
cantona,Eric Cantona,France,1994,Manchester United,CLUB,,78,90,88,87,40,82,5,3,FW,AM
scholes,Paul Scholes,England,2008,Manchester United,CLUB,,65,82,92,82,70,75,4,2,MF,CM
giggs,Ryan Giggs,Wales,1999,Manchester United,CLUB,,94,78,88,93,40,70,4,3,FW,LW
rooney,Wayne Rooney,England,2010,Manchester United,CLUB,,88,92,88,91,50,84,5,4,FW,ST
ronaldo3,Cristiano Ronaldo,Portugal,2008,Manchester United,CLUB,,96,93,84,94,38,82,5,5,FW,LW
keane,Roy Keane,Ireland,1999,Manchester United,CLUB,,72,65,83,72,91,90,5,2,MF,CM
maradona,Diego Maradona,Argentina,1986,Napoli,CLUB,,88,94,97,98,35,78,5,5,MF,AM
maradona,Diego Maradona,Argentina,1987,Napoli,CLUB,,87,93,97,98,35,78,5,5,MF,AM
maradona,Diego Maradona,Argentina,1984,Barcelona,CLUB,,86,90,94,96,32,75,3,4,MF,AM
cruyff,Johan Cruyff,Netherlands,1973,Ajax,CLUB,,92,91,96,97,42,72,5,5,FW,ST
cruyff,Johan Cruyff,Netherlands,1974,Barcelona,CLUB,,90,90,95,96,40,72,3,5,FW,ST
van_basten,Marco van Basten,Netherlands,1989,AC Milan,CLUB,,83,97,86,95,38,84,5,5,FW,ST
van_basten,Marco van Basten,Netherlands,1990,AC Milan,CLUB,,82,96,85,94,38,84,5,4,FW,ST
gullit,Ruud Gullit,Netherlands,1989,AC Milan,CLUB,,88,88,88,90,70,94,5,4,MF,AM
gullit,Ruud Gullit,Netherlands,1987,AC Milan,CLUB,,87,87,86,89,72,95,5,4,MF,AM
rijkaard,Frank Rijkaard,Netherlands,1989,AC Milan,CLUB,,72,55,87,70,96,90,5,3,MF,DM
romario,Romario,Brazil,1994,Barcelona,CLUB,,92,96,82,96,30,70,4,5,FW,ST
romario,Romario,Brazil,1995,Barcelona,CLUB,,91,96,83,95,30,70,4,4,FW,ST
rivaldo,Rivaldo,Brazil,1999,Barcelona,CLUB,,84,93,91,96,35,78,5,5,MF,AM
rivaldo,Rivaldo,Brazil,2002,AC Milan,CLUB,,80,87,87,91,38,78,3,3,MF,AM
kaka,Kaka,Brazil,2007,AC Milan,CLUB,,92,90,89,94,42,82,5,5,MF,AM
ronaldinho,Ronaldinho,Brazil,2005,Barcelona,CLUB,,94,89,91,98,32,72,5,5,FW,LW
ronaldinho,Ronaldinho,Brazil,2006,Barcelona,CLUB,,93,90,91,98,32,72,5,5,FW,LW
neymar,Neymar,Brazil,2015,Barcelona,CLUB,,95,91,89,98,32,72,5,4,FW,LW
suarez,Luis Suarez,Uruguay,2016,Barcelona,CLUB,,84,97,88,94,48,90,5,5,FW,ST
suarez,Luis Suarez,Uruguay,2014,Liverpool,CLUB,,90,96,86,94,45,85,3,5,FW,ST
eto_o,Samuel Eto'o,Cameroon,2006,Barcelona,CLUB,,95,93,82,92,38,84,5,4,FW,ST
eto_o,Samuel Eto'o,Cameroon,2010,Inter Milan,CLUB,,94,91,80,90,40,83,5,4,FW,ST
henry,Thierry Henry,France,2004,Arsenal,CLUB,,95,95,88,94,38,84,5,5,FW,ST
bergkamp,Dennis Bergkamp,Netherlands,2002,Arsenal,CLUB,,72,89,94,96,38,76,4,4,FW,ST
bergkamp,Dennis Bergkamp,Netherlands,1998,Arsenal,CLUB,,74,88,92,95,38,76,4,4,FW,ST
cantona,Eric Cantona,France,1994,Manchester United,CLUB,,80,91,89,89,42,85,5,4,FW,ST
cantona,Eric Cantona,France,1993,Manchester United,CLUB,,79,90,88,88,42,85,5,3,FW,ST
rooney,Wayne Rooney,England,2010,Manchester United,CLUB,,89,93,89,92,52,86,5,4,FW,ST
rooney,Wayne Rooney,England,2009,Manchester United,CLUB,,90,91,88,91,52,85,5,3,FW,ST
beckham,David Beckham,England,1999,Manchester United,CLUB,,80,78,96,88,50,75,5,4,MF,RM
beckham,David Beckham,England,2003,Real Madrid,CLUB,,78,80,95,86,52,77,3,3,MF,RM
gerrard,Steven Gerrard,England,2005,Liverpool,CLUB,,84,88,91,84,78,88,4,4,MF,CM
gerrard,Steven Gerrard,England,2009,Liverpool,CLUB,,82,90,90,86,72,86,3,3,MF,CM
lampard,Frank Lampard,England,2005,Chelsea,CLUB,,70,89,91,84,73,86,5,4,MF,CM
lampard,Frank Lampard,England,2010,Chelsea,CLUB,,68,91,90,82,70,85,4,4,MF,CM
scholes,Paul Scholes,England,2003,Manchester United,CLUB,,67,82,94,84,68,76,4,3,MF,CM
scholes,Paul Scholes,England,2007,Manchester United,CLUB,,65,84,94,83,70,76,5,3,MF,CM
keane,Roy Keane,Ireland,1999,Manchester United,CLUB,,74,67,85,73,93,91,5,3,MF,CM
giggs,Ryan Giggs,Wales,2003,Manchester United,CLUB,,92,79,89,94,42,70,4,3,FW,LW
giggs,Ryan Giggs,Wales,1999,Manchester United,CLUB,,95,80,89,95,42,71,5,4,FW,LW
vidic,Nemanja Vidic,Serbia,2009,Manchester United,CLUB,,70,45,73,48,97,95,5,3,DF,CB
ferdinand,Rio Ferdinand,England,2009,Manchester United,CLUB,,83,45,84,58,95,90,5,3,DF,CB
evra,Patrice Evra,France,2009,Manchester United,CLUB,,91,45,82,73,91,84,5,2,DF,LB
van_der_sar,Edwin van der Sar,Netherlands,2008,Manchester United,CLUB,,72,40,78,48,96,91,5,3,GK,GK
terry,John Terry,England,2008,Chelsea,CLUB,,64,50,79,48,97,93,5,3,DF,CB
drogba,Didier Drogba,Ivory Coast,2010,Chelsea,CLUB,,84,94,80,84,48,96,5,4,FW,ST
drogba,Didier Drogba,Ivory Coast,2012,Chelsea,CLUB,,82,93,79,82,50,96,5,5,FW,ST
hazard,Eden Hazard,Belgium,2018,Chelsea,CLUB,,94,86,88,97,38,72,5,4,FW,LW
de_bruyne,Kevin De Bruyne,Belgium,2020,Manchester City,CLUB,,76,91,97,91,55,78,5,5,MF,AM
de_bruyne,Kevin De Bruyne,Belgium,2022,Manchester City,CLUB,,75,90,96,90,58,80,5,4,MF,AM
aguero,Sergio Aguero,Argentina,2012,Manchester City,CLUB,,91,94,85,94,35,78,5,4,FW,ST
aguero,Sergio Aguero,Argentina,2014,Manchester City,CLUB,,90,93,84,93,36,80,3,3,FW,ST
yaya_toure,Yaya Toure,Ivory Coast,2014,Manchester City,CLUB,,82,80,88,85,78,94,5,3,MF,CM
kompany,Vincent Kompany,Belgium,2014,Manchester City,CLUB,,68,55,76,52,96,94,4,3,DF,CB
david_silva,David Silva,Spain,2012,Manchester City,CLUB,,79,78,95,96,43,66,5,4,MF,AM
david_silva,David Silva,Spain,2019,Manchester City,CLUB,,74,80,94,93,45,64,4,3,MF,AM
aguero2,Sergio Aguero,Argentina,2019,Manchester City,CLUB,,89,94,84,92,38,80,4,4,FW,ST
vinicius,Vinicius Junior,Brazil,2022,Real Madrid,CLUB,,98,88,82,96,35,78,5,3,FW,LW
vinicius,Vinicius Junior,Brazil,2024,Real Madrid,CLUB,,97,91,84,96,38,80,5,5,FW,LW
bellingham,Jude Bellingham,England,2024,Real Madrid,CLUB,,88,90,89,91,72,86,5,4,MF,CM
bellingham,Jude Bellingham,England,2023,Real Madrid,CLUB,,89,88,88,90,70,85,4,3,MF,AM
ronaldo4,Cristiano Ronaldo,Portugal,2014,Real Madrid,CLUB,,95,98,87,94,40,86,5,5,FW,LW
ronaldo5,Cristiano Ronaldo,Portugal,2013,Real Madrid,CLUB,,97,97,86,94,38,85,5,5,FW,LW
benzema,Karim Benzema,France,2021,Real Madrid,CLUB,,83,93,91,91,48,84,5,4,FW,ST
benzema,Karim Benzema,France,2019,Real Madrid,CLUB,,82,91,88,90,45,82,4,3,FW,ST
casemiro,Casemiro,Brazil,2017,Real Madrid,CLUB,,70,57,84,71,96,93,5,3,MF,DM
marcelo,Marcelo,Brazil,2011,Real Madrid,CLUB,,92,72,89,95,76,79,5,3,DF,LB
alves,Dani Alves,Brazil,2015,Barcelona,CLUB,,91,66,94,91,84,78,5,3,DF,RB
pique,Gerard Pique,Spain,2015,Barcelona,CLUB,,62,45,84,56,95,89,5,2,DF,CB
mascherano,Javier Mascherano,Argentina,2011,Barcelona,CLUB,,65,45,80,52,96,88,5,2,MF,DM
xavi3,Xavi,Spain,2011,Barcelona,CLUB,,73,70,98,95,67,65,5,5,MF,CM
iniesta3,Andres Iniesta,Spain,2012,Barcelona,CLUB,,84,79,96,98,57,68,5,4,MF,CM
busquets3,Sergio Busquets,Spain,2015,Barcelona,CLUB,,57,48,96,81,93,77,5,3,MF,DM
suarez2,Luis Suarez,Uruguay,2015,Barcelona,CLUB,,84,97,88,95,48,89,5,5,FW,ST
messi3,Lionel Messi,Argentina,2012,Barcelona,CLUB,,94,99,96,99,38,72,5,5,FW,RW
messi4,Lionel Messi,Argentina,2015,Barcelona,CLUB,,95,97,97,99,40,72,5,5,FW,RW
etoo2,Samuel Eto'o,Cameroon,2009,Barcelona,CLUB,,96,93,83,92,38,83,5,5,FW,ST
puyol2,Carles Puyol,Spain,2009,Barcelona,CLUB,,72,45,77,56,97,92,5,3,DF,CB
xavi4,Xavi,Spain,2009,Barcelona,CLUB,,74,69,97,94,66,65,5,3,MF,CM
iniesta4,Andres Iniesta,Spain,2009,Barcelona,CLUB,,82,75,95,97,55,65,5,4,MF,CM
rakitic,Ivan Rakitic,Croatia,2015,Barcelona,CLUB,,74,78,90,82,72,82,5,2,MF,CM
neymar2,Neymar,Brazil,2017,Barcelona,CLUB,,96,91,90,98,33,73,4,4,FW,LW
robben,Arjen Robben,Netherlands,2013,Bayern Munich,CLUB,,97,91,86,96,35,71,5,5,FW,RW
ribery,Franck Ribery,France,2013,Bayern Munich,CLUB,,95,85,90,97,36,73,5,4,FW,LW
lewandowski2,Robert Lewandowski,Poland,2020,Bayern Munich,CLUB,,80,99,85,91,42,91,5,5,FW,ST
muller,Thomas Muller,Germany,2013,Bayern Munich,CLUB,,80,90,86,88,55,82,5,4,FW,ST
muller,Thomas Muller,Germany,2014,Bayern Munich,CLUB,,78,91,87,87,58,83,5,4,FW,ST
schweinsteiger2,Bastian Schweinsteiger,Germany,2013,Bayern Munich,CLUB,,73,66,91,79,85,89,5,3,MF,CM
lahm3,Philipp Lahm,Germany,2013,Bayern Munich,CLUB,,89,56,92,87,92,73,5,4,DF,RB
lahm4,Philipp Lahm,Germany,2015,Bayern Munich,CLUB,,87,54,91,85,91,72,5,3,DF,LB
ribery2,Franck Ribery,France,2010,Bayern Munich,CLUB,,94,83,88,96,36,72,3,3,FW,LW
kimmich,Joshua Kimmich,Germany,2020,Bayern Munich,CLUB,,78,65,93,84,88,82,5,3,MF,DM
kimmich,Joshua Kimmich,Germany,2022,Bayern Munich,CLUB,,77,67,94,85,86,82,4,3,MF,DM
schweinsteiger3,Bastian Schweinsteiger,Germany,2014,Bayern Munich,CLUB,,72,66,91,79,84,88,4,3,MF,CM
pirlo3,Andrea Pirlo,Italy,2007,AC Milan,CLUB,,61,66,98,91,61,66,5,4,MF,CM
nesta2,Alessandro Nesta,Italy,2003,AC Milan,CLUB,,73,42,81,50,98,88,5,4,DF,CB
maldini3,Paolo Maldini,Italy,2003,AC Milan,CLUB,,79,45,89,59,98,87,5,4,DF,CB
seedorf3,Clarence Seedorf,Netherlands,2007,AC Milan,CLUB,,77,73,92,89,67,86,5,3,MF,CM
gattuso,Gennaro Gattuso,Italy,2007,AC Milan,CLUB,,78,55,80,67,96,91,5,2,MF,DM
shevchenko,Andriy Shevchenko,Ukraine,2004,AC Milan,CLUB,,91,95,82,93,35,82,5,5,FW,ST
shevchenko,Andriy Shevchenko,Ukraine,1999,AC Milan,CLUB,,92,94,80,92,35,80,4,4,FW,ST
ibrahimovic2,Zlatan Ibrahimovic,Sweden,2013,Paris Saint-Germain,CLUB,,77,96,86,92,38,95,5,5,FW,ST
ibrahimovic3,Zlatan Ibrahimovic,Sweden,2010,AC Milan,CLUB,,79,94,84,91,40,94,4,4,FW,ST
verratti,Marco Verratti,Italy,2017,Paris Saint-Germain,CLUB,,76,55,92,94,70,70,4,3,MF,CM
thiago_silva,Thiago Silva,Brazil,2017,Paris Saint-Germain,CLUB,,70,45,83,58,96,88,4,3,DF,CB
cavani,Edinson Cavani,Uruguay,2017,Paris Saint-Germain,CLUB,,85,94,78,86,48,90,4,4,FW,ST
mbappe2,Kylian Mbappe,France,2024,Paris Saint-Germain,CLUB,,98,96,87,96,40,82,5,5,FW,ST
mbappe3,Kylian Mbappe,France,2023,Paris Saint-Germain,CLUB,,99,95,85,96,38,81,5,4,FW,LW
deco,Deco,Portugal,2004,Porto,CLUB,,75,76,94,94,52,72,5,4,MF,AM
deco2,Deco,Portugal,2006,Barcelona,CLUB,,73,76,94,93,55,74,5,3,MF,AM
figo2,Luis Figo,Portugal,2000,Real Madrid,CLUB,,89,85,92,95,36,76,5,5,FW,RW
raul2,Raul,Spain,2000,Real Madrid,CLUB,,81,91,85,92,43,79,4,4,FW,ST
hierro2,Fernando Hierro,Spain,1998,Real Madrid,CLUB,,66,66,86,57,94,89,4,3,DF,CB
redondo2,Fernando Redondo,Argentina,1998,Real Madrid,CLUB,,74,52,95,91,82,76,5,4,MF,DM
casillas2,Iker Casillas,Spain,2012,Real Madrid,CLUB,,78,45,80,51,96,84,5,4,GK,GK
ronaldo6,Ronaldo Nazario,Brazil,2003,Real Madrid,CLUB,,92,96,84,95,32,83,4,5,FW,ST
roberto_carlos3,Roberto Carlos,Brazil,2002,Real Madrid,CLUB,,97,77,86,92,84,89,5,4,DF,LB
cannavaro2,Fabio Cannavaro,Italy,2006,Real Madrid,CLUB,,79,40,71,55,98,83,4,4,DF,CB
ramos2,Sergio Ramos,Spain,2014,Real Madrid,CLUB,,79,70,83,76,95,93,5,4,DF,CB
alonso4,Xabi Alonso,Spain,2014,Real Madrid,CLUB,,61,61,94,81,76,77,5,3,MF,DM
ozil,Mesut Ozil,Germany,2013,Real Madrid,CLUB,,72,78,96,94,35,68,4,4,MF,AM
